0.9846, 2772.95, 	0.001, 0.049, #40, 	234, grid, 64, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9838, 4151.60, 	0.001, 0.051, #19, 	234, grid, 32, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9838, 1109.01, 	0.002, 0.051, #22, 	234, grid, 32, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9829, 1838.67, 	0.001, 0.052, #42, 	234, grid, 64, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9821, 154.38, 	0.002, 0.053, #73, 	234, grid, 256, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9812, 496.63, 	0.001, 0.054, #72, 	234, grid, 256, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9812, 42.81, 	0.001, 0.054, #128, 	234, grid, 1024, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9803, 608.86, 	0.001, 0.056, #43, 	234, grid, 64, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9803, 155.86, 	0.002, 0.056, #77, 	234, grid, 256, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9795, 2764.32, 	0.002, 0.057, #36, 	234, grid, 64, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9795, 441.43, 	0.002, 0.057, #88, 	234, grid, 512, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9795, 42.80, 	0.002, 0.057, #124, 	234, grid, 1024, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9786, 4141.64, 	0.002, 0.058, #23, 	234, grid, 32, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9786, 2912.72, 	0.001, 0.058, #21, 	234, grid, 32, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9786, 2752.45, 	0.001, 0.058, #37, 	234, grid, 64, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9786, 1846.83, 	0.002, 0.058, #38, 	234, grid, 64, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9786, 1518.21, 	0.002, 0.058, #54, 	234, grid, 128, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9786, 1478.34, 	0.003, 0.058, #53, 	234, grid, 128, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9786, 610.16, 	0.002, 0.058, #39, 	234, grid, 64, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9786, 302.93, 	0.001, 0.058, #105, 	234, grid, 768, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9778, 5088.89, 	0.001, 0.059, #6, 	234, grid, 16, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9778, 436.19, 	0.001, 0.059, #92, 	234, grid, 512, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9769, 1781.51, 	0.002, 0.060, #9, 	234, grid, 16, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9769, 1112.86, 	0.003, 0.060, #26, 	234, grid, 32, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9769, 827.79, 	0.003, 0.060, #71, 	234, grid, 256, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9769, 796.17, 	0.002, 0.060, #74, 	234, grid, 256, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9769, 261.51, 	0.001, 0.060, #121, 	234, grid, 1024, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9761, 1502.80, 	0.002, 0.061, #58, 	234, grid, 128, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9761, 500.62, 	0.002, 0.061, #76, 	234, grid, 256, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9761, 300.24, 	0.002, 0.061, #60, 	234, grid, 128, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9761, 154.20, 	0.003, 0.061, #123, 	234, grid, 1024, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9761, 79.12, 	0.003, 0.061, #90, 	234, grid, 512, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9752, 4931.33, 	0.002, 0.062, #2, 	234, grid, 16, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9752, 814.08, 	0.002, 0.062, #75, 	234, grid, 256, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9752, 303.24, 	0.002, 0.062, #109, 	234, grid, 768, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9752, 247.62, 	0.002, 0.062, #122, 	234, grid, 1024, KNearestClassifier, 1, ManhattanDistance, InverseDistance
