0.9829, 42.62, 	0.002, 0.052, #124, 	234, merge, 1024, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9812, 56.17, 	0.002, 0.054, #111, 	234, merge, 768, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9795, 258.76, 	0.002, 0.057, #125, 	234, merge, 1024, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9795, 85.07, 	0.002, 0.057, #94, 	234, merge, 512, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9786, 242.48, 	0.001, 0.058, #126, 	234, merge, 1024, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9778, 322.08, 	0.003, 0.059, #105, 	234, merge, 768, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9778, 247.62, 	0.001, 0.059, #122, 	234, merge, 1024, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9769, 508.19, 	0.001, 0.060, #91, 	234, merge, 512, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9769, 38.70, 	0.004, 0.060, #128, 	234, merge, 1024, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9761, 954.01, 	0.003, 0.061, #70, 	234, merge, 256, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9761, 334.52, 	0.002, 0.061, #104, 	234, merge, 768, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9761, 321.48, 	0.001, 0.061, #109, 	234, merge, 768, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9761, 56.18, 	0.002, 0.061, #107, 	234, merge, 768, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9752, 481.38, 	0.002, 0.062, #88, 	234, merge, 512, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9744, 506.69, 	0.002, 0.063, #87, 	234, merge, 512, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9744, 257.47, 	0.003, 0.063, #121, 	234, merge, 1024, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9744, 167.13, 	0.003, 0.063, #77, 	234, merge, 256, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9735, 84.48, 	0.003, 0.064, #90, 	234, merge, 512, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9726, 482.74, 	0.002, 0.065, #92, 	234, merge, 512, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9726, 148.75, 	0.002, 0.065, #127, 	234, merge, 1024, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9709, 952.89, 	0.003, 0.067, #74, 	234, merge, 256, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9709, 198.23, 	0.004, 0.067, #106, 	234, merge, 768, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9709, 167.49, 	0.003, 0.067, #73, 	234, merge, 256, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9701, 915.27, 	0.006, 0.068, #71, 	234, merge, 256, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9701, 582.24, 	0.004, 0.068, #76, 	234, merge, 256, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9692, 333.81, 	0.003, 0.069, #108, 	234, merge, 768, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9684, 198.17, 	0.004, 0.070, #110, 	234, merge, 768, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9675, 916.96, 	0.004, 0.071, #75, 	234, merge, 256, KNearestClassifier, 2, ManhattanDistance, InverseDistance
